CustomerID,Name,Region,JoinDate,LoyaltyPointsCount,PreferredContactMethod
1101,Ryan Martin,South-West,2020-11-14,3531.0,Sms
1102,Robert Hansen,Central,2022-11-19,3469.0,Mail
1103,Megan Chandler,East,2023-06-25,3825.0,Email
1104,David Herrera,West,2021-04-01,806.0,Email
1105,Taylor Clarke,Central,2023-03-11,3298.0,Sms
1106,Jennifer Ewing,East,2023-05-16,895.0,Phone
1107,Emily Hoffman,West,2023-06-09,1569.0,Phone
1108,Sharon Bautista,Central,2022-07-31,4393.0,Mail
1109,Aaron Garcia,East,2023-07-31,1148.0,Mail
1110,Melissa Grimes,South,2024-03-14,1503.0,Sms
1111,Ronald Chavez,South-West,2021-06-24,3789.0,Phone
1112,Joseph Flores,East,2021-04-03,617.0,Mail
1113,Louis Jones,Central,2021-07-04,4508.0,Email
1114,Grace Price,South,2022-03-25,414.0,Email
1115,Gina Banks,West,2023-09-16,764.0,Phone
1116,Melissa Rivera,Central,2021-10-25,1362.0,Mail
1117,Amanda Lang,North,2024-04-14,3978.0,Mail
1118,Briana Alvarado,South,2022-03-18,1751.0,Mail
1119,Cameron Hernandez,East,2022-08-08,480.0,Phone
1120,Daniel Meyer,South,2024-03-15,3104.0,Email
1121,Stephanie Garrison,East,2020-08-21,3198.0,Sms
1122,Christopher Martinez,East,2021-10-07,3727.0,Sms
1123,Colleen Greene,South-West,2022-08-21,3465.0,Mail
1124,Megan Novak,East,2022-12-19,1268.0,Phone
1125,Debbie Andrews,West,2021-05-22,2430.0,Phone
1126,Lee Luna,East,2021-01-19,479.0,Email
1127,George Edwards,Central,2023-05-12,2569.0,Email
1128,Vincent Day,North,2022-07-03,410.0,Mail
1129,Karina Jones,East,2023-11-05,4119.0,Phone
1130,Mary Sandoval,North,2020-10-06,465.0,Email
1131,Mark Gomez,West,2020-06-11,1522.0,Email
1132,Scott Winters,West,2022-09-20,4874.0,Email
1133,Victor Wagner,South-West,2021-06-12,1926.0,Mail
1134,Joseph Aguilar,West,2023-12-05,982.0,Phone
1135,Christopher Chen,South,2023-09-10,4742.0,Email
1136,Scott Hernandez,South,2024-02-09,671.0,Mail
1137,Jessica Harmon,South-West,2022-11-05,4781.0,Sms
1138,Bonnie Stewart,South,2022-04-19,2136.0,Phone
1139,Heather Olson,Central,2021-04-20,2573.0,Phone
1140,Carla Flores,East,2020-09-30,2175.0,Mail
1141,David Palmer,North,2022-09-16,1072.0,Sms
1142,Marvin Hamilton,North,2022-04-23,3745.0,Sms
1143,Miss Chelsea Castro DDS,Central,2021-02-23,594.0,Email
1144,Brian Browning,East,2023-05-03,3754.0,Email
1145,Stephanie Powell,East,2023-02-03,600.0,Phone
1146,Jonathan Andrade,South-West,2020-06-07,4144.0,Sms
1147,William Palmer,South-West,2023-08-14,1085.0,Sms
1148,Dean Allison,West,2021-06-23,563.0,Phone
1149,Jordan Elliott,North,2020-05-13,3027.0,Sms
1150,Bobby Hunter,North,2020-12-06,1292.0,Mail
1151,Sabrina Lester,West,2022-07-16,4450.0,Sms
1152,Thomas Garcia,East,2022-09-14,4333.0,Email
1153,Michelle Martinez,East,2023-07-31,4543.0,Sms
1154,Edward Castillo,North,2020-10-01,848.0,Phone
1155,Rachel Goodman,North,2023-04-10,2166.0,Email
1156,Dennis Acevedo,East,2023-06-18,876.0,Phone
1157,Cheryl Wu,West,2021-12-10,2231.0,Sms
1158,Kelly Gallagher,East,2024-03-02,4954.0,Phone
1159,Kelli Smith,North,2022-01-28,2808.0,Phone
1160,Phillip Soto,West,2023-04-21,2162.0,Mail
1161,David Ellis,East,2023-01-02,2057.0,Email
1162,Deborah Rice,East,2022-01-14,756.0,Mail
1163,Elizabeth Vaughn,West,2023-05-01,2266.0,Email
1164,William Ramsey,North,2023-05-04,29.0,Sms
1165,Richard Burnett,Central,2022-07-24,1071.0,Sms
1166,David Mccullough,South-West,2021-12-15,1323.0,Mail
1167,Terry Frederick,North,2021-12-20,4519.0,Mail
1168,Denise Gonzales,South,2022-05-02,4594.0,Email
1169,Michael Edwards,South-West,2023-09-26,916.0,Email
1170,Eric Davis,North,2023-10-15,1221.0,Email
1171,Ronald Marquez,South-West,2024-04-21,3024.0,Phone
1172,Eric Barr,East,2023-02-01,3520.0,Phone
1173,David King MD,North,2022-09-14,342.0,Sms
1174,Deborah Saunders,West,2021-12-25,2987.0,Email
1175,Teresa Lopez,West,2021-10-20,2931.0,Phone
1176,Ashley Williams,East,2021-11-24,2044.0,Email
1177,Katherine West,East,2020-11-01,2897.0,Mail
1178,Katherine Kerr,East,2020-11-13,1266.0,Phone
1179,Desiree Miller,East,2021-12-21,1331.0,Phone
1180,Jennifer Smith,South-West,2020-10-03,3377.0,Email
1181,Tiffany Smith,East,2024-04-07,1469.0,Sms
1182,James Gray,West,2020-07-24,3372.0,Phone
1183,Kenneth Graves,East,2020-05-08,2185.0,Phone
1184,Brittney Chen,East,2023-07-20,885.0,Mail
1185,Cameron Levine,East,2021-07-26,317.0,Mail
1186,Timothy Williams,West,2021-09-28,1822.0,Phone
1187,Kayla Solomon,North,2022-06-10,3770.0,Sms
1188,Ashley Todd,North,2023-09-04,2500.0,Phone
1189,Jennifer Farrell,North,2022-11-18,1826.0,Email
1190,Elizabeth Robinson,South-West,2023-12-27,1582.0,Mail
1191,Kyle Smith Jr.,South,2023-10-31,2689.0,Sms
1192,Gregory Medina,East,2020-06-06,568.0,Sms
1193,Nancy King,South,2022-05-23,2876.0,Mail
1194,Casey Brown,Central,2024-02-09,4392.0,Sms
1195,Michael Lee,South-West,2023-08-22,226.0,Email
1196,Dr. Elizabeth Johnston DDS,North,2022-02-09,2139.0,Phone
1197,William Wilson,West,2023-04-04,4756.0,Sms
1198,Chris Allen,South-West,2022-10-11,313.0,Email
1199,James Cooley,West,2020-07-23,4887.0,Mail
1005,Jessica Mora,South,2021-08-05,2831.0,Sms
